Drug1,Drug2,Batch,Plate,Well,S1,S2,C,Expected,Difference
CLOUD073,CLOUD020,Batch2,1315109,C21,0.1157523701482863,0,0.1698403695000406,0.1157523701482863,0.05408799935175432
CLOUD073,CLOUD021,Batch2,1315075,M18,0.1157523701482863,0.13195851227615277,0,0.23243637186723265,-0.23243637186723265
CLOUD073,CLOUD022,Batch2,1315112,J17,0.1157523701482863,0.10663641520136141,0.08921481241390497,0.2100453675459734,-0.12083055513206842
CLOUD073,CLOUD023,Batch1,1315044,O21,0.46951515389962095,0.5549129410324674,0.4886624437712292,0.7638880600223381,-0.2752256162511089
CLOUD073,CLOUD024,Batch1,1315024,I19,0.46951515389962095,0.9995409896263655,0.9972459377581934,0.9997565019525839,-0.002510564194390552
CLOUD073,CLOUD025,Batch2,1315089,P19,0.1157523701482863,0.14100694163087826,0.5267806498662994,0.24043742407802934,0.28634322578827
CLOUD073,CLOUD026,Batch1,1315053,A20,0.46951515389962095,0.09483154319287612,0.5501698338382447,0.5198218504957552,0.03034798334248945
CLOUD073,CLOUD027,Batch2,1315092,J02,0.1157523701482863,0.11244361613051362,0,0.21518037120364888,-0.21518037120364888
CLOUD073,CLOUD028,Batch2,1315097,H12,0.1157523701482863,0.05822056559436037,0.03613969694514232,0.1672337672837257,-0.13109407033858336
CLOUD073,CLOUD029,Batch1,1315004,O08,0.46951515389962095,0.18401070149899668,0.5878086844762691,0.567130042565139,0.020678641911130113
CLOUD073,CLOUD030,Batch2,1315079,L11,0.1157523701482863,0,0.03289846851956903,0.1157523701482863,-0.08285390162871727
CLOUD073,CLOUD031,Batch2,1315087,C07,0.1157523701482863,0.7633903249331497,0.6977554493152905,0.7907784556221535,-0.093023006306863
CLOUD073,CLOUD032,Batch2,1315065,L14,0.1157523701482863,0.3936201820489966,0.10420549388218145,0.46381008318691164,-0.35960458930473016
CLOUD073,CLOUD033,Batch2,1315079,M11,0.1157523701482863,0.09097047781109056,0.0021067984766227504,0.19619279953922103,-0.19408600106259827
CLOUD073,CLOUD034,Batch2,1315107,N06,0.1157523701482863,0.14391054209545426,0.3554006968641116,0.243004925906867,0.11239577095724457
CLOUD073,CLOUD035,Batch1,1315052,J12,0.46951515389962095,0.06468986199088092,0,0.5038321453821082,-0.5038321453821082
CLOUD073,CLOUD036,Batch1,1315034,F05,0.46951515389962095,0.1937154922558392,0,0.572278286996219,-0.572278286996219
CLOUD073,CLOUD037,Batch1,1315019,E14,0.46951515389962095,0.2602064235223144,0.14073258055632054,0.6075507184361859,-0.46681813787986537
CLOUD073,CLOUD038,Batch1,1315007,N18,0.46951515389962095,0.46693595275253225,0.3895162030661893,0.7172176009342819,-0.3277013978680926
CLOUD073,CLOUD039,Batch2,1315105,M12,0.1157523701482863,0.35310482672933047,0.08435296977554503,0.42798447627289676,-0.34363150649735175
CLOUD073,CLOUD040,Batch1,1315035,P07,0.46951515389962095,0.6603323235105113,0.7484623152483246,0.8198114449122001,-0.07134912966387552
CLOUD073,CLOUD041,Batch1,1315064,H05,0.46951515389962095,0.43480522659812115,0.3142385017901404,0.7001727376151656,-0.38593423582502523
CLOUD073,CLOUD042,Batch1,1315048,N20,0.46951515389962095,0.30807464820133507,0.4124667217479115,0.6329440862381346,-0.2204773644902231
CLOUD073,CLOUD043,Batch2,1315114,L11,0.1157523701482863,0.04012370688490955,0.04424276800907555,0.15123166286213244,-0.10698889485305689
CLOUD073,CLOUD044,Batch1,1315039,D21,0.46951515389962095,0.6592306986137886,0.46662994583677586,0.819227049598402,-0.3525971037616261
